COLLISION_ID,CRASH_DATETIME,LATITUDE,LONGITUDE,ZIPCODE,API_CALL
1014,2012-10-15 12:50:00.000,40.7143839,-74.0101291,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7144%2C-74.0101/2012-10-15T12:50:00?key={API_KEY}&include=current&contentType=csv
1015,2012-10-15 14:00:00.000,40.7136184,-74.0067527,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7136%2C-74.0068/2012-10-15T14:00:00?key={API_KEY}&include=current&contentType=csv
1016,2012-10-16 10:51:00.000,40.7061417,-74.0060197,10038,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7061%2C-74.006/2012-10-16T10:51:00?key={API_KEY}&include=current&contentType=csv
1017,2012-10-16 12:00:00.000,40.7194676,-74.0043723,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7195%2C-74.0044/2012-10-16T12:00:00?key={API_KEY}&include=current&contentType=csv
1018,2012-10-16 13:13:00.000,40.7219679,-74.0082326,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.722%2C-74.0082/2012-10-16T13:13:00?key={API_KEY}&include=current&contentType=csv
1019,2012-10-16 15:53:00.000,40.7168711,-74.0040258,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7169%2C-74.004/2012-10-16T15:53:00?key={API_KEY}&include=current&contentType=csv
1020,2012-10-16 16:16:00.000,40.7047985,-74.0166846,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7048%2C-74.0167/2012-10-16T16:16:00?key={API_KEY}&include=current&contentType=csv
1021,2012-10-17 16:15:00.000,40.7108271,-74.0033798,10038,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7108%2C-74.0034/2012-10-17T16:15:00?key={API_KEY}&include=current&contentType=csv
1022,2012-10-17 09:33:00.000,40.7174502,-74.0035316,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7175%2C-74.0035/2012-10-17T09:33:00?key={API_KEY}&include=current&contentType=csv
1023,2012-10-17 10:12:00.000,40.7247015,-74.0093189,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7247%2C-74.0093/2012-10-17T10:12:00?key={API_KEY}&include=current&contentType=csv
1024,2012-10-17 09:30:00.000,40.7077575,-74.015643,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7078%2C-74.0156/2012-10-17T09:30:00?key={API_KEY}&include=current&contentType=csv
1026,2012-10-17 11:35:00.000,40.7047985,-74.0166846,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7048%2C-74.0167/2012-10-17T11:35:00?key={API_KEY}&include=current&contentType=csv
1027,2012-10-17 14:10:00.000,40.7136919,-74.0137542,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7137%2C-74.0138/2012-10-17T14:10:00?key={API_KEY}&include=current&contentType=csv
1028,2012-10-17 15:13:00.000,40.7205573,-74.0035102,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7206%2C-74.0035/2012-10-17T15:13:00?key={API_KEY}&include=current&contentType=csv
1030,2012-09-26 14:20:00.000,40.7234229,-73.9996104,10012,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7234%2C-73.9996/2012-09-26T14:20:00?key={API_KEY}&include=current&contentType=csv
1031,2012-10-16 15:00:00.000,40.7101656,-74.0042527,10038,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7102%2C-74.0043/2012-10-16T15:00:00?key={API_KEY}&include=current&contentType=csv
1032,2012-10-18 02:30:00.000,40.7149466,-74.0096819,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7149%2C-74.0097/2012-10-18T02:30:00?key={API_KEY}&include=current&contentType=csv
1033,2012-10-18 13:05:00.000,40.7136919,-74.0137542,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7137%2C-74.0138/2012-10-18T13:05:00?key={API_KEY}&include=current&contentType=csv
1034,2012-10-18 14:55:00.000,40.7061761,-74.0179293,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7062%2C-74.0179/2012-10-18T14:55:00?key={API_KEY}&include=current&contentType=csv
1035,2012-10-17 11:00:00.000,40.7040414,-74.013186,10004,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.704%2C-74.0132/2012-10-17T11:00:00?key={API_KEY}&include=current&contentType=csv
1036,2012-10-18 07:42:00.000,40.7213532,-74.0046358,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7214%2C-74.0046/2012-10-18T07:42:00?key={API_KEY}&include=current&contentType=csv
